Name,Nomination Year,President,Country,Confirmed,Doc No.,Total Personal Contributions by Nominee,Bundling Value,Career Background,Graduate Degree(s) & Area(s) of Study,Career FSO,Career Senior FS,State Dept. Experience,Military Experience,Other Foreign Policy Experience (U.S. Gov't),Experience in Organizational Leadership,Language,Knowledge of Principal Language,Knowledge of Other Relevant Languages,Country Experience,Experience in Host,Experience In or Involving Host,Regional Experience,Experience in Region,Experience in or Involving Region
Sue Kathrine Brown,2010,Obama,Montenegro,Yes,C05728801,0,0,,No,Yes,Yes,"Director of Office of Southern African Affairs, DCM in Accra, DCM in Asmara, Management Officer in Niamey, Executive Officer in Jakarta (USIA), Chief of Foreign Service National Personnel Office (USIA), Executive Officer in Lagos (USIA), Executive officer for Voice of American in Monrovia, Regional Post Management Officer in Nairobi, served in the embassy in Abidjan",No,No,Yes,,No,No,,No,No,,Yes (France),Yes (Administrative Officer in Paris)
Wanda L. Nesbitt,2010,Obama,Namibia,Yes,C05728812,0,0,,Yes (M.A. in Nat'l Security Strategy),Yes,Yes,"Principal Deputy Assistant Secretary for Bureau of Consular Affairs; Director of Senior Level Assignments Division in Bureau of Human Resources, Office of Career Development and Assignments; Officer in Charge of Immigration and Refugee Issues for Bureau of Legislative Affairs; Deputy Director of Department's Executive Secretariat Staff; Consular Officer in Paris and Port-au-Prince",No,No,Yes,,Yes (English),No,,No,No,,"Yes (Madagascar, Tanzania, Democratic Republic of Congo, Ivory Coast, Rwanda)","Yes (Ambassador to Madagascar, DCM in Dar es Salaam, acting Charge d'Affaires in Tanzania, Regional Consular Officer in Kinshasa, Ambassador to Ivory Coast; DCM in Kigali; Chief of Europe and Africa Division of Citizens Emergency Center)"
Terence Patrick McCulley,2010,Obama,Nigeria,Yes,C05728833,0,0,,No,Yes,Yes,"DCM in Copenhagen, Deputy Coordinator for Iraq Reconstruction in Bureau of Near Eastern Affairs, Consular Officer in Mumbai and Durban, DCM in Tunis",No,No,Yes,,Yes (English),No,,No,No,,"Yes (Mali, Senegal, Togo, Niger, Chad)","Yes (Ambassador to Mali, DCM in Dakar, DCM in Lome, Officer-in-Charge of Zairian Affairs in the Office of Central African Affairs, Administrative Officer in N'Djamena, General Services Officer in Niamey)"
Cameron Munter,2010,Obama,Pakistan,Yes,C05728848,0,0,,Yes (M.A. and Ph.D. in History),Yes,Yes,"DCM in Baghdad, Political-Military Counselor in Baghdad, Ambassador to Serbia, head of a Provisional Reconstruction Team in Mosul, DCM in Warsaw, Special Assistant to Counselor of the Department, Special Assistant to Office of NATO Enlargement and Ratification, Political Officer in Bonn and Prague, Economic and Consular Officer in Warsaw",No,Senior Director for European Affairs at National Security Council,Yes,,Yes (English),No,,No,No,,No,No
Helen Patricia Reed-Rowe,2010,Obama,Palau,Yes,C05728852,153.19,0,,Yes (M.A. in Nat'l Security and Strategic Studies),Yes,No,"Senior Advisor to Office of Performance Evaluation, Foreign Affairs Advisor from State Dept. to Avian Influenza Action Group, Post Management Officer in Bureau of Near Eastern Affairs, Desk Officer in Bureau of African Affairs, Management Officer in Office of Overseas Buildings Operations, Examiner on Board of Examiners in Bureau of Human Resources, Supervisory General Services Officer in Jamaica, Post Management Officer in Bureau of European and Canadian Affairs, Regional Personnel Officer in Ecuador, Personnel Officer in Niger",No,Pearson Fellow,No,,Yes (English),No,,No,No,,Yes (Marshall Islands),Yes (DCM in Majuro)
Phyllis Marie Powers,2010,Obama,Panama,Yes,C05728853,0,0,,No,Yes,No,"Director of Office of Provisional Affairs at Embassy Baghdad, Senior Post Management Officer in Bureau of Near East and South Asia Affairs, Deputy Director of Office of Travel Support in Bureau of Administration, General Services Officer in Amman and Warsaw, Medical Technologist in Moscow",No,No,No,,Yes (Spanish),No,,No,No,,"Yes (Peru, Colombia)","Yes (DCM in Lima, Management Counselor in Bogota, Counselor for Narcotics Affairs in Bogota, General Services Officer in Bogota)"
Rose M. Likins,2010,Obama,Peru,Yes,C05728868,0,0,,No,Yes,Yes,"Deputy Director of Foreign Service Institute, Dean of Foreign Service Institute's School of Professional and Area Studies, Principal Deputy Assistant Secretary in Bureau of Political-Military Affairs, domestic assignments in Bureau of Human Rights and Humanitarian Affairs, domestic assignments in Bureau of Intelligence and Research, Special Assistant to Deputy Secretary of State, Executive Assistant to Under Secretary for Global Affairs, Director of Department's Operations Center, Deputy Executive Secretary of Department, DCM in Sofia",No,No,Yes,,Yes (Spanish),No,,No,No,,"Yes (Paraguay, El Salvador, Mexico)","Yes (Chief of Political Section in Asuncion, Ambassador to El Salvador, Honduras Desk Officer, Consular Officer in Monterrey; B.A. in Spanish and Int'l Affairs)"
Michael S Owen,2010,Obama,Sierra Leone,Yes,C05728907,0,0,,No,Yes,Yes,"Acting Deputy Assistant Secretary; Director of the Office for India, Nepal, Sri Lanka, Maldives, and Bhutan, in the South and Central Asia Bureau; U.S. Consul General for Western India; Economic Counselor at U.S. Embassy in Colombo, Sri Lanka; Chief of Political/Economic Section at the U.S. Consulate General in Karachi; Consular Officer in Dublin; Watch Officer in Operations Center",No,No,Yes,,Yes (English),No,,No,No,,"Yes (Ghana, Mauritania, Tanzania)","Yes (Counselor for Economic Affairs at U.S. Embassy in Accra; Political/Economic Officer at U.S. Embassy in Nouakchott; DCM and Charge d'Affaires at U.S. Embassy in Dar es Salaam, Tanzania; Desk Officer for Rwanda and Burundi in the Bureau of African Affairs)"
Theodore Sedgwick,2010,Obama,Slovakia,Yes,C05728913,80722,0,,No,No,No,,No,No,Yes,,No,No,,No,No,,No,No
Joseph A. Mussomeli,2010,Obama,Slovenia,Yes,C05728916,0,0,,Yes (J.D.),Yes,Yes,"Assistant Chief of Mission in Kabul, Afghanistan; Director of Entry Level Career Development and Assignments in Human Resources for both Generalists and Specialists; Ambassador to Cambodia; General Service Officer in Cairo, Egypt; Staff Assistant to the Undersecretary for Security Assistance; Consular Officer in Manila, Philippines; North Korea Desk Officer; Senior Watch Officer; Economic Counselor in Colombo, Sri Lanka; Inspector for the Office of Inspector General; Political Counselor in Rabat, Morocco; DCM in Manama, Bahrain; DCM in Philippines.",No,No,Yes,,No,No,,No,No,,No,No
Robert S. Ford,2010,Obama,Syria,Yes,C05728943,0,0,,Yes (M.A. from SAIS),Yes,No,"Chief of the Political and Economic Section in Yaoundé, Cameroon",No,No,No,,Yes (Arabic),No,,Yes (Ambassador to Syria (Recess Appointment)),Yes (Ambassador to Syria (Recess Appointment)),,"Yes (Algeria, Iraq, Egypt)","Yes (Ambassador to Algeria; Head of Political Section in Baghdad; DCM in Baghdad; Economic Officer in Cairo, Egypt; Economic Officer in Bureau of Near Eastern Affairs)"
Kristie A. Kenney,2010,Obama,Thailand,Yes,C05728954,0,0,,Yes (M.A. in Latin American Studies),Yes,Yes,Ambassador to Ecuador; Senior Advisor to the Assistant Secretary for Int'l Narcotics and Law Enforcement; Executive Secretary of State Dept.; Deputy Executive Director in the Secretariat Executive Office; Director and Deputy Director of the Operations Center; Senior Watch Officer; Political-Military Officer in the Office of NATO Affairs; Staff Officer in the Secretariat; Staff Assistant to the Under Secretary for Security Assistance; Economic Counselor at the United States Mission to Int'l Organization in Geneva; Economic Officer at the U.S. Embassy in Argentina; Consular Officer at the U.S. Embassy in Jamaica. ,No,Deputy Executive Secretary to the National Security Council; Page for U.S. Senate; Tour Guide in the U.S. Capitol Building; Intern in the House of Representatives; Staff Member for the Senate Human Resources Committee. ,Yes,,No,No,,No,No,,Yes (Philippines),Yes (Ambassador to the Philippines)
"Francis Joseph Ricciardone, Jr.",2010,Obama,Turkey,Yes,C05728968,0,0,,No,Yes,Yes,"Chief of Mission to Philippines and to Palau; Director of the State Department's Task Force on the Global War on Terrorism; Senior Advisor to the Director General; Director of the Director General's Policy Coordination Office; Special Assistant to the Director in the Bureau of Intelligence and Research; DCM in Kabul, Afghanistan; Chief of Mission to Egypt; Special Coordinator for the Transition of Iraq; DCM in for Baghdad (designated there but stationed in Amman); Chief of the Civilian Observer Unit in the Sinai; Political Officer in Cairo; Desk Officer for Iraq in the Bureau of Near Eastern Affairs",No,No,Yes,,Yes (Turkish),No,,Yes (Ambassador to Turkey; DCM in Ankara; Consular Officer in Adana; Political/Rotational Officer in Ankara; Analyst for Turkey in the Bureau of Intelligence and Research),Yes (Ambassador to Turkey; DCM in Ankara; Political/Rotational Officer in Ankara; Analyst for Turkey in the Bureau of Intelligence and Research),,No,"Yes (Analyst for Cyprus in the Bureau of Intelligence and Research; Author of the articles ""An American Diplomat's Perspectives on Kurds in the Global Arena,"" and ""Supporting a Transition to Democracy in Iraq"")"
George Albert Krol,2010,Obama,Uzbekistan,Yes,C05729017,0,0,,Yes (M.A. in Political Science),Yes,Yes,"Chief of Mission and DCM in Minsk; Political Officer in Kiev; Desk Officer in the Office of South Central European Affairs; Operations Officer in the Secretariat; Interfunctional Officer in New Delhi; Economic and Consular Officer in Warsaw; Minister-Counselor for Political Affairs, Acting DCM, and Charge d'Affaires in Moscow; Director of the Office of Russian Affairs; Political Officer in St. Petersburg",No,Faculty Advisor at the National War College,Yes,,No,Yes (Russian),,No,No,,No,Yes (Deputy Assistant Secretary for the Bureau of South and Central Asian Affairs; Special Assistant to the Ambassador-at-Large for the Newly Independent States)
Larry Leon Palmer,2010,Obama,Venezuela,No,C05729021,0,0,,Yes (M.A. in Education),Yes,Yes,Personnel Officer in Korea; Pearson Fellow,No,President of the Inter American Foundation,Yes,,No,No,,No,No,,"Yes (Honduras, Ecuador, Dominican Republic, Uruguay)",Yes (Ambassador of Honduras; DCM and Charge d'Affaires in Quito; Vice Consul and Counselor for Administration in the Dominican Republic; Personnel Officer in Uruguay)
David B. Shear,2010,Obama,Vietnam,Yes,C05729027,0,0,,Yes (M.A. in Int'l Affairs),Yes,Yes,Special Assistant to the Under Secretary for Political Affairs; U.S. Mission to U.N.  ,No,No,Yes,,No,"Yes (English, Chinese)",,No,No,,"Yes (Malaysia, China, Japan)",Yes (Deputy Assistant Secretary in the Bureau of East Asian and Pacific Affairs; Director of the Office of Chinese and Mongolian Affairs; DCM in Kuala Lumpur; Overseas assignments in Sapporo and Beijing; Overseas Assignment in Tokyo; worked in the Office of Japanese Affairs)
Gerald M. Feierstein,2010,Obama,Yemen,Yes,C05729028,0,0,,Yes (M.A. in Int'l Relations),Yes,Yes,"Principal Deputy Assistant Coordinator and Deputy Assistant Coordinator for Programs in the Office of the Coordinator for Counterterrorism; Desk Officer for Nepal; DCM in Islamabad; Principal Officer in Consulate Peshawar; Consular Officer in Islamabad; Director of the Office of Pakistan, Afghanistan, and Bangladesh Affairs",No,No,Yes,,Yes (Arabic),No,,No,No,,"Yes (Lebanon, Israel, Oman, Saudi Arabia, Tunisia)","Yes (DCM in Beirut, Deputy Principal Officer in Consulate General Jerusalem; DCM in Muscat; Political-Military Officer in Riyadh; Arabic Language Training in Tunis; Desk Officer for Pakistan and Egypt; Deputy Director in the Office of Arabian Peninsula Affairs; Director of the Office of Regional Affairs in the Near East Bureau)"
Mark C. Storella,2010,Obama,Zambia,Yes,C05729034,0,0,,Yes (M.A. in Int'l Security and Asian Diplomatic History),Yes,Yes,Senior Coordinator for Iraqi Refugees and Internally Displaced Persons; DCM and Charge d'Affaires at U.S. Mission to UN in Geneva; DCM in Phnom Penh; Executive Assistant in office of Counselor to Secretary of State; Senior Political Officer on Japan Desk; Political Officer in Rome; Political Officer in Phnom Penh; served in Embassy Paris as an Asia Watcher; served on NATO Desk and as a Consular Officer in Bangkok,No,Presidential Management Fellow with Dept of the Navy,Yes,,Yes (English),No,,No,No,,No,No
Ryan C. Crocker ,2011,Obama,Afghanistan,Yes,C05727618,0,0,,No,Yes,Yes,"First Director of Governance for Coalition Provisional Authority in Baghdad, Deputy Assistant Secretary of State in Bureau of Near Eastern Affairs, Ambassador to Syria, Ambassador to Kuwait, Ambassador to Lebanon, Ambassador to Iraq, Political Officer in Cairo and Beirut, Economic/Commercial Officer in Baghdad and Doha, Staff Aide in Khorramshahr",No,Faculty of National War College,Yes,,"Yes (""Persian"")",No,,Yes (sent to reopen embassy in Kabul in 2001),Yes (sent to reopen embassy in Kabul in 2001),,Yes (Pakistan),Yes (Ambassador to Pakistan)
Henry S. Ensher,2011,Obama,Algeria,Yes,C05727642,0,0,,No,Yes,Yes,"Advisor in the Bureau of South and Central Asian Affairs, Senior Civilian Representative in southern Afghanistan, Political Officer in Vienna, Director for the Office of Afghanistan Affairs, Foreign Service Institute, Office of UN Policy in the Bureau of International Organization Affairs, International Relations Officer in the Bureau of Democracy, Human Rights and Labor)",No,No,Yes,,Yes (Arabic),No,,Yes (Political Counselor in Algiers),Yes (Political Counselor in Algiers),,"Yes (Iraq, Syria, Oman, Saudi Arabia)","Yes (CPA in Iraq, Deputy Political Counselor in Baghdad, Political Adviser to Central Command, Director for the Office of Iraq Affairs, International Relations Officer in the Bureau of Near Eastern Affairs; tours in Oman, Saudi Arabia, and Syria)"
John A. Heffern,2011,Obama,Armenia,Yes,C05727659,0,0,,No,Yes,Yes,DCM in Jakarta; Executive Assistant to the Under Secretary of State for Political Affairs; Deputy Political Advisor at NATO; Deputy Political Counselor in Tokyo; Political Officer in Kuala Lumpur; Economic Officer in Cote d'Ivoire; Consular Officer in Guangzhou; assignment in the Bureau of Human Resources; Desk Officer in the Bureau of East Asia and Pacific Affairs; Action Officer in the Bureau of Political-Military Affairs,No,Pearson Fellow on the Asia Sub-Committee on the House International Relations Committee; Office Director for Senator John C. Danforth,Yes,,No,No,,No,No,,Yes (Belgium),Yes (DCM to NATO in Brussels)
Robert S. Ford,2011,Obama,Bahrain,No,C05727678,0,0,,Yes (M.A. from SAIS),Yes,Yes,Chief of the Political and Economic Section in Yaoundé,No,No,Yes,,Yes (Arabic),Yes (English),,No,No,,"Yes (Iraq, Egypt, Algeria, Morocco)",Yes (Head of Political Section in Baghdad; DCM in Baghdad; Economic Officer in Cairo; Economic Officer in the Bureau of Near East Affairs; Peace Corps in Morocco; Ambassador to Algeria; Political Officer in Algiers)
Thomas C. Krajeski,2011,Obama,Bahrain,Yes,C05727679,0,0,,No,Yes,Yes,"Senior Vice President of the National Defense University (as Minister-Counselor); Director of the Office of Career Development and Assignments; DCM in Warsaw; General Services Officer in Kathmandu; Press Officer and Consular Officer in Madras; Senior Watch Officer in the Ops Center; Political Desk Officer in the Office of India, Nepal, and Sri Lankan Affairs",No,No,Yes,,Yes (Arabic),Yes (English),,No,No,,"Yes (Iraq, Yemen, UAE)",Yes (Senior Advisor for Northern Iraq in Baghdad; Chief of Mission and Ambassador to Yemen; Principal Officer and Consul General in Dubai; Director and Deputy Director of the Officer of Northern Gulf Affairs)
Dan W. Mozena,2011,Obama,Bangladesh,Yes,C05727686,0,0,,Yes (M.A. in Pol. Sci & Public Policy),Yes,Yes,Faculty Staff at the National War College; Ambassador to Angola; Country Director of the Officer of Southern African Affairs; DCM and often Charge d'Affaires in Lusaka; Officer of Southern African Affairs; Bureau of Political-Military Affairs; political and economic officer in Kinshasa; consular officer in Lusaka ,No,Peace Corps in Zaire,Yes,,No,No,,Yes (Political/Economic Officer in Dhaka),Yes (Political/Economic Officer in Dhaka),,"Yes (India, Pakistan)","Yes (Political Officer in New Delhi, political-military officer in Islamabad)"
Larry Leon Palmer,2011,Obama,Antigua & Barbuda,Yes,C05727688,0,0,,Yes (M.A. in Education),Yes,Yes,Personnel Officer in Uruguay and Korea,No,"Peace Corps in Liberia, West Africa; Pearson Fellow helping to advance NAFTA",Yes,,Yes (English),No,,No,No,,"Yes (Honduras, Ecuador, Dominican Republic)",Yes (President and CEO of the Inter American Foundation; Ambassador to Honduras; DCM in Quito; Vice Consul in Dominican Republic; counselor for administration in Dominican Republic)
Larry Leon Palmer,2011,Obama,Barbados,Yes,C05727688,0,0,,Yes (M.A. in Education),Yes,Yes,Personnel Officer in Uruguay and Korea,No,"Peace Corps in Liberia, West Africa; Pearson Fellow helping to advance NAFTA",Yes,,Yes (English),No,,No,No,,"Yes (Honduras, Ecuador, Dominican Republic)",Yes (President and CEO of the Inter American Foundation; Ambassador to Honduras; DCM in Quito; Vice Consul in Dominican Republic; counselor for administration in Dominican Republic)
Larry Leon Palmer,2011,Obama,Dominica,Yes,C05727688,0,0,,Yes (M.A. in Education),Yes,Yes,Personnel Officer in Uruguay and Korea,No,"Peace Corps in Liberia, West Africa; Pearson Fellow helping to advance NAFTA",Yes,,Yes (English),No,,No,No,,"Yes (Honduras, Ecuador, Dominican Republic)",Yes (President and CEO of the Inter American Foundation; Ambassador to Honduras; DCM in Quito; Vice Consul in Dominican Republic; counselor for administration in Dominican Republic)
Larry Leon Palmer,2011,Obama,Grenada,Yes,C05727688,0,0,,Yes (M.A. in Education),Yes,Yes,Personnel Officer in Uruguay and Korea,No,"Peace Corps in Liberia, West Africa; Pearson Fellow helping to advance NAFTA",Yes,,Yes (English),No,,No,No,,"Yes (Honduras, Ecuador, Dominican Republic)",Yes (President and CEO of the Inter American Foundation; Ambassador to Honduras; DCM in Quito; Vice Consul in Dominican Republic; counselor for administration in Dominican Republic)
Larry Leon Palmer,2011,Obama,St. Kitts & Nevis,Yes,C05727688,0,0,,Yes (M.A. in Education),Yes,Yes,Personnel Officer in Uruguay and Korea,No,"Peace Corps in Liberia, West Africa; Pearson Fellow helping to advance NAFTA",Yes,,Yes (English),No,,No,No,,"Yes (Honduras, Ecuador, Dominican Republic)",Yes (President and CEO of the Inter American Foundation; Ambassador to Honduras; DCM in Quito; Vice Consul in Dominican Republic; counselor for administration in Dominican Republic)
Larry Leon Palmer,2011,Obama,St. Vincent & Grenadines,Yes,C05727688,0,0,,Yes (M.A. in Education),Yes,Yes,Personnel Officer in Uruguay and Korea,No,"Peace Corps in Liberia, West Africa; Pearson Fellow helping to advance NAFTA",Yes,,Yes (English),No,,No,No,,"Yes (Honduras, Ecuador, Dominican Republic)",Yes (President and CEO of the Inter American Foundation; Ambassador to Honduras; DCM in Quito; Vice Consul in Dominican Republic; counselor for administration in Dominican Republic)
Michael A. Raynor,2011,Obama,Benin,Yes,C05727702,0,0,,Yes (M.A.),Yes,Yes,Consular officer in Luxembourg; Special Assistant in the Bureau of Legislative Affairs,No,Paralegal to the U.S. Senate's Select Committee on Secret Military Assistance to Iran and the Nicaraguan Opposition,Yes,,Yes (French),No,,No,No,,"Yes (Zimbabwe, Namibia, Guinea, Djibouti, Congo)","Yes (Executive Director and Deputy Director for Bureau of African Affairs, Management Counselor in Harare; Management Officer in Namibia, Guinea, and Djibouti; General Services Officer in Brazzaville; Zimbabwe Desk Officer)"
Michelle D. Gavin,2011,Obama,Botswana,Yes,C05727709,0,0,,Yes (MPhil in IR),No,No,,No,No,No,,Yes (English),No,,No,No,,No,Yes (Special Assistant to the President and Senior Director for Africa at the NSC; Adjunct Fellow for Africa and an IR Fellow at the Council on Foreign Relations; foreign policy adviser to Senator Russ Feingold (Sen. was chair of subcommittee on Africa); Staff Director of the Senate Foreign Relations Committee's Subcommittee on African Affairs) 
William E. Todd,2011,Obama,Cambodia,Yes,C05727738,0,0,,No,No,No,"Coordinating Director of Development and Economic Affairs in Kabul; Deputy Inspector General; Deputy Assistant Secretary for Civilian Police, Rule of Law, Asia, Africa, and Europe in the Bureau of International Narcotics and Law Enforcement Affairs (INL); Principal Deputy Assistant Secretary of INL; Executive Director/Controller for INL; Executive Director for the Bureau of Resource Management",No,No,Yes,,No,No,,No,No,,Yes (Brunei),Yes (U.S. Ambassador to Brunei)
Adrienne O'Neal,2011,Obama,Cape Verde,Yes,C05727749,0,0,,Yes (M.M.L. in Spanish Language and Lit.),Yes,Yes,Director of the Senior Level Division in the Office of Career Development and Assignments; Counseling and Assignment Officer in the Senior Legal Division; Diplomat in Residence at the University of Michigan; DCM in Lisbon; director of the Office of Public Diplomacy in the Bureau of European and Eurasian Affairs; Principal Officer in Consulate General Rio de Janeiro; Senior Branch Public Affairs Officer in Rio de Janeiro; Assistant Information Officer in Buenos Aires; Assistant Cultural Affairs Officer in Rome,No,Deputy Press Secretary for the Office of National Drug Policy in the White House;,Yes,,Yes (Portuguese),No,,No,No,,Yes (Mozambique),Yes (Public Affairs Officer in Maputo)
Gary Locke,2011,Obama,China,Yes,C05727766,2319,0,,Yes (J.D.),No,No,,No,Secretary of Commerce,Yes,,No,No,,No,Yes (co-chaired firm's China practice),,No,No
Norman L. Eisen,2011,Obama,Czechia,No (Recess),C05727796,39692,231936.71,,Yes (J.D.),No,No,,No,No,Yes,,No,No,,No,No,,No,No
Geeta Pasi,2011,Obama,Djibouti,Yes,C05727802,0,0,,Yes (M.A.),Yes,Yes,DCM in Dhaka; Deputy Principal Officer in Frankfurt; Political Officer in New Delhi; Rotational Officer in Bucharest; Afghanistan desk officer; Line Officer in the Executive Secretariat,No,No,Yes,,No,No,,No,No,,"Yes (Ghana, Cameroon)",Yes (Director of the Office of East African Affairs in the Bureau of African Affairs; Political-Economic Officer in Accra and in Consulate Douala; I.R. Officer in the Office of West African Affairs)
Adam E. Namm,2011,Obama,Ecuador,Yes,C05727819,0,0,,Yes (M.S. in National Security Strategy),Yes,Yes,Director of the Bureau of Overseas Buildings Operations; Management Counselor in Islamabad; General Services Officer in Dhahran; Executive Assistant in the Bureau of Administration; Director of the Office of Allowances; Special Assistant to the Under Secretary for Management; Watch Officer in the Nuclear Risk Reduction Center; Area Management Officer in OBO,No,No,Yes,,Yes (Spanish),No,,No,No,,"Yes (Colombia, Dominican Republic)",Yes (H.R. Officer in Bogota; consular tours in Colombia; Post Management Officer in the Office of the Executive Director in the Bureau of Western Hemisphere Affairs; General Services Officer in Santo Domingo; Desk Officer in the Office of Caribbean Affairs)
Anne W. Patterson,2011,Obama,Egypt,Yes,C05727820,0,0,,Yes (Not Reported),Yes,Yes,"Ambassador to Pakistan; Assistant Secretary of State for Bureau of Int'l Narcotics and Law Enforcement Affairs; Deputy Permanent Representative and Acting Permanent Representative at U.S. Mission to U.N.; Deputy Inspector General; Ambassador to Columbia; Ambassador to El Salvador; Principal Deputy Assistant Secretary and Deputy Assistant Secretary of Inter-American Affairs; Office Director for Andean Affairs; Political Counselor to U.S. Mission to U.N. in Geneva; assignments in Bureau of Inter-American Affairs, Bureau of Intelligence and Research, and Bureau of Economic and Business Affairs",No,No,Yes,,Yes (Arabic),Yes (English),,No,No,,Yes (Saudi Arabia),Yes (Economic Officer and Counselor in Saudi Arabia)
Frankie Annette Reed,2011,Obama,Fiji,Yes,C05727846,1130.27,0,,Yes (J.D.),Yes,Yes,Diplomat in Residence At UC-Berkley; Consul General and Deputy U.S. Observer to the Council of Europe and the European Court of Human Rights; DCM in Conakry; Political Section Chief in Dakar; Political Officer in Nairobi and Yaoundé; Desk Officer in the Bureaus of African Affairs and Western Hemisphere Affairs.,No,Peace Corps Volunteer,Yes,,Yes (English),No,,No,No,,Yes (Samoa),"Yes (Deputy Assistant Secretary in the Bureau of East Asian and Pacific Affairs; DCM in Apia; Deputy Director of the Office of Australia, New Zealand and Pacific Affairs)"
Frankie Annette Reed,2011,Obama,Kiribati,Yes,C05727846,1130.27,0,,Yes (J.D.),Yes,Yes,Diplomat in Residence At UC-Berkley; Consul General and Deputy U.S. Observer to the Council of Europe and the European Court of Human Rights; DCM in Conakry; Political Section Chief in Dakar; Political Officer in Nairobi and Yaoundé; Desk Officer in the Bureaus of African Affairs and Western Hemisphere Affairs.,No,Peace Corps Volunteer,Yes,,Yes (English),No,,No,No,,Yes (Samoa),"Yes (Deputy Assistant Secretary in the Bureau of East Asian and Pacific Affairs; DCM in Apia; Deputy Director of the Office of Australia, New Zealand and Pacific Affairs)"
Frankie Annette Reed,2011,Obama,Nauru,Yes,C05727846,1130.27,0,,Yes (J.D.),Yes,Yes,Diplomat in Residence At UC-Berkley; Consul General and Deputy U.S. Observer to the Council of Europe and the European Court of Human Rights; DCM in Conakry; Political Section Chief in Dakar; Political Officer in Nairobi and Yaoundé; Desk Officer in the Bureaus of African Affairs and Western Hemisphere Affairs.,No,Peace Corps Volunteer,Yes,,Yes (English),No,,No,No,,Yes (Samoa),"Yes (Deputy Assistant Secretary in the Bureau of East Asian and Pacific Affairs; DCM in Apia; Deputy Director of the Office of Australia, New Zealand and Pacific Affairs)"
Frankie Annette Reed,2011,Obama,Tonga,Yes,C05727846,1130.27,0,,Yes (J.D.),Yes,Yes,Diplomat in Residence At UC-Berkley; Consul General and Deputy U.S. Observer to the Council of Europe and the European Court of Human Rights; DCM in Conakry; Political Section Chief in Dakar; Political Officer in Nairobi and Yaoundé; Desk Officer in the Bureaus of African Affairs and Western Hemisphere Affairs.,No,Peace Corps Volunteer,Yes,,Yes (English),No,,No,No,,Yes (Samoa),"Yes (Deputy Assistant Secretary in the Bureau of East Asian and Pacific Affairs; DCM in Apia; Deputy Director of the Office of Australia, New Zealand and Pacific Affairs)"
Frankie Annette Reed,2011,Obama,Tuvalu,Yes,C05727846,1130.27,0,,Yes (J.D.),Yes,Yes,Diplomat in Residence At UC-Berkley; Consul General and Deputy U.S. Observer to the Council of Europe and the European Court of Human Rights; DCM in Conakry; Political Section Chief in Dakar; Political Officer in Nairobi and Yaoundé; Desk Officer in the Bureaus of African Affairs and Western Hemisphere Affairs.,No,Peace Corps Volunteer,Yes,,Yes (English),No,,No,No,,Yes (Samoa),"Yes (Deputy Assistant Secretary in the Bureau of East Asian and Pacific Affairs; DCM in Apia; Deputy Director of the Office of Australia, New Zealand and Pacific Affairs)"
Arnold A. Chacon,2011,Obama,Guatemala,Yes,C05727895,0,0,,No,Yes,Yes,DCM in Madrid; Deputy Executive Secretary; Political Officer in Rome; Italy Desk Officer; Political Adviser in the U.S. Mission to the UN and Watch Officer in the Executive Secretariat,No,American Political Science Fellow for Congresswoman Patricia Schroeder,Yes,,Yes (Spanish),No,,No,No,,"Yes (Peru, Chile, Mexico, Honduras)",Yes (Director of Andean Affairs; Counselor for Political Affairs in Lima; Political Officer in Santiago; Staff Assistant to the US Ambassador in Mexico; consular/political officer in Tegucigalpa; Deputy Director in the office of Central American Affairs; Executive Assistant to the Assistant Secretary of Western Hemisphere Affairs
D. Brent Hardt,2011,Obama,Guyana,Yes,C05727909,0,0,,"Yes (M.A., PhD from Fletcher School of Law and Diplomacy)",Yes,Yes,DCM at the Holy See; Political Officer in Berlin; Political-Military officer and exchange diplomat in the Netherlands Ministry of Foreign Affairs in the Hague; Team Leader for NATO Policy in the Office of European Political and Security Affairs.,No,No,Yes,,Yes (English),No,,No,No,,"Yes (Barbados and the Eastern Caribbean, Bahamas)","Yes (at various times the Charge d'Affaires, DCM, consular officer, and Political-Economic Section Chief in Barbados and the Eastern Caribbean; DCM and Charge d'Affaires in Nassau)"
Lisa J. Kubiske,2011,Obama,Honduras,Yes,C05727925,146.3,0,,Yes (M.S.F.S.),Yes,Yes,"Officer in the State Department's Operations Center and Secretariat Staff; Investment Director and Negotiator at the U.S. Trade Representative's Office; chief of the Economic-Political Section in Hong Kong; additional work in Shanghai, China",No,No,Yes,,No,No,,No,No,,"Yes (Brazil, Dominican Republic, Peru)","Yes (DCM in Brazil; Director of the Office of Regional Economic Policy and Summit Coordination in the Bureau of Western Hemisphere Affairs; DCM in Santo Domingo; spent undergraduate year in Lima, Peru)"
